Ligand,Docking_Score
Diethylstilbesterol_out,-8.3
Dihydroresveratrol_out,-8.5
Dimethylmatairesinol_out,-8.9
Doristerol_out,-10.1
Epifriedelinol_out,-9.0
Estrogen_out,-9.1
Euphol_out,-10.5
Flavan-3-ol_out,-8.6
H-Trp-Glu-OH_out,-8.3
harzol_out,-8.8
Homoferreirin_out,-8.6
Humulene_epoxide_out,-9.1
humulene_out,-8.8
Irigenin_out,-8.5
Isohydroxymatairesinol_out,-8.7
Isolariciresinol_out,-8.3
Isomultiflorenol_out,-9.7
Isorhapontigenin_out,-8.5
Isoxanthohumol_out,-9.5
Ketoprofen_glucuronide_out,-10.3
Lappaol_B_out,-10.4
Lariciresinol_out,-9.2
Lignan_out,-8.0
Lochnocarpol_A_out,-8.6
Lophenol_out,-10.2
LTS0073273_out,-8.1
LTS0135613_out,-9.0
LTS0166628_out,-11.5
LTS0198461_out,-8.7
MammeaABB_out,-8.5
MammeaA_BA_out,-9.2
Mammea_ABA_out,-8.7
Mammea_A_BB_out,-9.1
Manoyl_oxide_out,-8.5
Medioresinol_out,-9.7
"methyl 3,6-dihydroxy-2,6,10,14,14-pentamethyl-13,18-dioxononadecanoate_out",-8.8
"methyl 6,8-dihydroxy-4,8-dimethyl-14-oxo-11-(propan-2-yl)pentadeca-4,9-dienoate_out",-8.0
"methylidene(8,10,12,14,16-pentamethoxy-5,7-dimethylnonadeca-4,6,18-trien-2-yl)amine_out",-10.3
"methylidene(8,10,12,14-tetramethoxy-5,7-dimethylheptadeca-4,6,16-trien-2-yl)amine_out",-9.8
mirabilene a isonitrile_out,-10.2
Multiflorenol_out,-10.4
Myricanol_out,-10.1
"N,N-bis[4-(dimethylamino)butyl]hexanamide_out",-8.5
N-(4-carbamimidamidobutyl)-3-methyldec-2-enamide_out,-8.1
neg-Arctigenin_out,-9.1
Neosilyhermin A_out,-10.2
Nevskin_out,-10.3
Nobiletin_out,-8.1
NPC101781_out,-8.2
NPC10364_out,-10.0
NPC103972_out,-9.4
NPC105228_out,-8.6
NPC106654_out,-9.0
NPC107120_out,-9.2
NPC108371_out,-10.3
NPC108450_out,-9.4
NPC112813_out,-8.8
NPC113326_out,-9.5
NPC114331_out,-8.4
NPC114884_out,-8.7
NPC11541_out,-9.0
NPC118273_out,-10.0
NPC122404_out,-9.0
NPC124018_out,-8.2
NPC125444_out,-8.1
NPC130235_out,-9.1
NPC131365_out,-9.3
NPC131382_out,-8.5
NPC132608_out,-8.3
NPC133261_out,-9.4
NPC135232_out,-8.2
NPC138781_out,-9.2
NPC139692_out,-8.3
NPC139976_out,-11.5
NPC140567_out,-10.0
NPC141103_out,-8.2
NPC141225_out,-8.2
NPC142545_out,-8.6
NPC144278_out,-9.0
NPC145006_out,-8.1
NPC146975_out,-9.2
NPC151379_out,-8.3
NPC152569_out,-10.5
NPC157563_out,-8.8
NPC161582_out,-8.1
NPC161775_out,-8.2
NPC16435_out,-8.7
NPC169078_out,-9.0
NPC169151_out,-8.7
NPC171698_out,-9.2
NPC171782_out,-8.6
NPC172405_out,-8.1
NPC173685_out,-8.7
NPC175722_out,-9.0
NPC175791_out,-8.3
NPC17814_out,-8.5
NPC182885_out,-9.9
NPC183193_out,-8.1
NPC183252_out,-8.7
NPC187302_out,-10.7
NPC187661_out,-9.1
NPC188145_out,-9.5
NPC194132_out,-8.3
NPC194390_out,-8.6
NPC195151_out,-10.5
NPC19617_out,-8.5
NPC19723_out,-8.1
NPC200254_out,-8.9
NPC200477_out,-8.3
NPC20460_out,-8.8
NPC204970_out,-10.2
NPC205143_out,-8.6
NPC205383_out,-8.2
NPC205655_out,-8.5
NPC20602_out,-9.1
NPC206586_out,-10.4
NPC206834_out,-9.5
NPC207326_out,-8.7
NPC207934_out,-9.7
NPC209852_out,-8.7
NPC210425_out,-9.7
NPC211758_out,-9.3
NPC212488_out,-8.8
NPC212891_out,-9.3
NPC21338_out,-9.0
NPC215210_out,-9.2
NPC215623_out,-8.7
NPC215921_out,-9.1
NPC216762_out,-9.1
NPC218268_out,-9.0
NPC219386_out,-9.6
NPC219818_out,-8.2
NPC223274_out,-10.4
NPC223451_out,-8.3
NPC224610_out,-8.7
NPC224813_out,-10.6
NPC225129_out,-8.1
NPC228511_out,-9.2
NPC229348_out,-10.5
NPC230718_out,-10.0
NPC232340_out,-9.4
NPC234333_out,-8.6
NPC234999_out,-8.2
NPC235262_out,-8.3
NPC236459_out,-8.3
NPC236976_out,-8.5
NPC239770_out,-8.7
NPC239936_out,-8.2
NPC241418_out,-8.0
NPC241643_out,-8.1
NPC242848_out,-8.6
NPC243525_out,-10.6
NPC244231_out,-8.4
